article,method
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,trimmed mean
922568537f0ef728874c112fdb4fa218375c1c23295b6a74c3c6a4e883f6059c,median
5609ae9eca3aad41e2cb0d7d915343b76360aa36b59d40d97fdf2b9c63cf44b9,geometric mean
4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,interquartile mean
ac263721b36a37f383489d89d312d497549b4462472b82b07f9d58abdb908371,median
914c948388ae30bdb0179a2f7bc91836d6af004171af735188fc1b69c286c864,trimmed mean
40e0e5c35df49b1e7220222f2657d3391a007e2713819336f6541eb76d9e3476,interquartile mean
89ae4b3090d6a2abe391fa47381c4716ae802a25979d10a46f6f6b69f6e77d19,geometric mean
4c463d851b85d57d0f3da8ef68ca2e02d36cd523f494fe9bb01209b4058d6655,geometric mean
7b44373dc20bf066d316c29274205e5dad54b4b389ca0cc3436fe3a631b52030,interquartile mean
1bb3a36c1691912ff11b8b9b15514133dec3c5b5c5cd7428b0c25285aa4333e2,geometric mean
90660ddcfe9483fa40cc6736b298b97488e3f03fe482dbf8fc7a46756299fd1f,median
72b1bfbfce7f2d9643c6d7a03485e772f662f069761618c7339f1f93f4c716d8,geometric mean
add78008bf890a56b09dccf59a6612b00121044b22aefad7d1b3be9e671b9bd1,median
7b237d4f2926160e43ffbf9bdfad08920b0b8a159fcd2c4f7d4cf2b250b13ef5,median
535164a31b33b68e4020a72e4558e9f055f6828b808a2801ef06cc4b1a3d5232,median
d24e88ad7dfefca0d03c0a69c375b74370745e05b409484e55da4ed8c959ea1e,trimmed mean
546fbe457469fde56e975b6235d14bc30236c2c99e473d39c718eccaea1d261a,geometric mean
eea32706ceeea18ece420ede85bbc9dc629a96c899a0782cdd0543e260698320,median
94749d60abb3999bb746ca97b29c239a3b5397434d7f2e2077f8ad4f39c832f5,geometric mean
d6042d90d3c78c7adfee57a4ff39f53b7f7a56905673f9bce9f4cb82132ede33,median
22b954454cfc20ef4813c70018c81004795496191338841e0ca4b9ed6e04e81a,trimmed mean
7d4bebc3704870a1684ad0f061a6627e4eceecc71da19ca88e126aa82d293329,interquartile mean
6a2d8be16672a2b32e91e8d1fbfc0a3403aecafa6069b9e0280247aa30ac697b,trimmed mean
0e37584a4c930c9add0960e5a0f441dd650c70d1689c44ceed1d7e75447f40b6,median
46f556f173732c56230dcf30cdd0899ac934c991bb1a0795cae5f31654179f30,trimmed mean
2a3613f00ad8cfa4947264e88470159d7b9bcbc0d3aef199b55c0903e842b7cd,interquartile mean
a224bdb6704e6381f262a0cb45e35172ee480a71cb5690524e833fdf565ddc26,geometric mean
da1686c8640845c6917ecf85cde8647a5d184301688804b00901848492d0fd2f,trimmed mean
43be05b06a262e727f92bf7f57ec6ee8efcf69a8d8a43c5d53c156ca3bd05788,trimmed mean
22e82e421ce67ec26b8d21f54326c38413dc08ce5e55f16b3adfef1a2edcd2f7,interquartile mean
fde5d6233dad2c818e7bac3e4d85afa024494bc3e66b32ba72258e6dfbc61082,median
d74dd3913cbe2221c23ea44876ea3d76b058d6d90801d7805c5e6c48fa4a6acc,geometric mean
ec23e6ac02e15d40df79c5c1589d3b84aa514ad55ef6368a7748aa83f053a235,trimmed mean
b68919084621c306819fccf0d840740a24239b596bf95f6f90baeb780c9a71a7,trimmed mean
